degree,duration,fitted,fraction,method,n_outcomes,name,ranking_error,uniform_noise,value_error_mean,value_error_std,white_noise
3,0.0002986053004860878,True,0.7777777777777777,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.491720507766278,0.3227727451064051,0.0
3,0.0002940632402896881,True,0.7777777777777777,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4679249190263739,0.2905002417997554,0.0
3,0.00028381310403347015,True,0.7777777777777777,project>error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4650653523960857,0.28673002514053797,0.0
2,0.00258443970233202,False,0.7777777777777777,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,,0.0,,,0.0
2,0.0002594823017716408,True,0.7777777777777777,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.410214079490494,0.21890098898309024,0.0
2,0.0002599535509943962,True,0.7777777777777777,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.45679859931747124,0.2759610696892313,0.0
3,0.00030197855085134506,True,0.7777777777777777,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.3560545941310422,0.1603147130427841,0.0
3,0.0002991892397403717,True,0.7777777777777777,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.5669878195092682,0.28682019232681266,0.0
3,0.00028713326901197433,True,0.7777777777777777,project>differences,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4600323064138843,0.2801504871566085,0.0
2,0.00030458904802799225,True,0.8888888888888888,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.40514257495390416,0.21306093544626933,0.0
3,0.0003211330622434616,True,0.8888888888888888,errors,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.5,0.0,0.4573301893369192,0.27664773240736906,0.0
2,0.0007933201268315315,True,0.8888888888888888,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.0,0.0,0.25210643376727215,0.08988409620425396,0.0
3,0.0014081047847867012,True,0.8888888888888888,error_sums,3,/export/home/yasser/datasets/genius/nd/000003NiceOrDie/NiceOrDie-B-prof1.xml,0.0,0.0,0.15576400738823917,0.034312251901940906,0.0
